Operacio,Dia,Hora,Preu,Volum
SI,02/01/24,09:00:08,2.65,2252
C,02/01/24,09:14:12,2.6812,2837
C,02/01/24,09:14:13,2.692,1707
C,02/01/24,09:38:33,2.7,1721
C,02/01/24,10:02:40,2.7,754
V,02/01/24,10:03:40,2.6845,5005
C,02/01/24,10:03:44,2.7,588
V,02/01/24,10:09:20,2.69,34
V,02/01/24,10:11:54,2.69,155
V,02/01/24,10:14:42,2.6763,10000
V,02/01/24,10:27:28,2.67,738
V,02/01/24,10:27:54,2.67,177
C,02/01/24,10:32:05,2.68,34
V,02/01/24,10:35:01,2.67,1100
C,02/01/24,10:46:02,2.6775,2000
C,02/01/24,10:57:45,2.68,225
V,02/01/24,11:06:29,2.6633,10000
C,02/01/24,11:07:16,2.6825,2000
V,02/01/24,12:03:36,2.66,5
V,02/01/24,12:04:58,2.66,235
C,02/01/24,12:19:46,2.665,227
V,02/01/24,12:30:35,2.66,645
V,02/01/24,12:32:13,2.66,2
C,02/01/24,12:33:13,2.665,227
V,02/01/24,12:33:17,2.66,189
C,02/01/24,12:33:42,2.665,187
V,02/01/24,12:34:07,2.66,191
V,02/01/24,12:34:16,2.655,753
C,02/01/24,12:34:18,2.66,191
V,02/01/24,12:34:23,2.655,2
V,02/01/24,12:36:47,2.655,85
C,02/01/24,12:40:15,2.66,45
C,02/01/24,12:40:19,2.66,67
C,02/01/24,12:48:38,2.66,5
V,02/01/24,12:55:29,2.6568,970
V,02/01/24,14:11:26,2.65,9328
V,02/01/24,14:12:38,2.645,477
V,02/01/24,14:12:39,2.645,271
C,02/01/24,14:32:45,2.66,1032
C,02/01/24,14:33:15,2.66,98
C,02/01/24,14:33:16,2.66,13
C,02/01/24,15:00:28,2.66,36
C,02/01/24,15:02:23,2.66,77
V,02/01/24,15:03:51,2.6564,105
C,02/01/24,15:14:18,2.66,9
C,02/01/24,15:17:48,2.6649,1051
C,02/01/24,15:20:00,2.67,2163
C,02/01/24,15:31:29,2.67,2720
C,02/01/24,15:46:30,2.675,2150
V,02/01/24,15:47:30,2.67,1661
V,02/01/24,15:49:41,2.6681,1566
V,02/01/24,15:54:00,2.665,1035
V,02/01/24,16:06:29,2.665,9385
C,02/01/24,16:06:32,2.67,48
C,02/01/24,16:06:36,2.67,32
C,02/01/24,16:06:37,2.67,7
C,02/01/24,16:10:21,2.67,31
C,02/01/24,16:18:12,2.6749,1059
C,02/01/24,16:20:10,2.675,171
V,02/01/24,16:25:59,2.67,34
C,02/01/24,16:31:32,2.6723,370
V,02/01/24,16:34:00,2.67,5
C,02/01/24,16:45:47,2.6746,1112
V,02/01/24,16:47:17,2.67,634
C,02/01/24,16:49:02,2.6734,251
V,02/01/24,16:49:07,2.67,320
V,02/01/24,16:51:09,2.67,22
V,02/01/24,16:51:30,2.67,21
V,02/01/24,16:55:09,2.67,35
C,02/01/24,16:57:33,2.6747,500
C,02/01/24,17:01:04,2.6771,1000
V,02/01/24,17:12:27,2.677,64
C,02/01/24,17:28:28,2.685,80
SF,02/01/24,17:35:01,2.69,5591
SI,03/01/24,09:00:27,2.695,5282
SI,03/01/24,09:00:28,2.695,2712
C,03/01/24,09:08:08,2.7,2000
V,03/01/24,09:24:30,2.69,324
V,03/01/24,09:24:31,2.69,36
C,03/01/24,09:26:34,2.7,10804
C,03/01/24,09:27:16,2.7,1612
C,03/01/24,09:28:32,2.705,950
V,03/01/24,09:30:09,2.7,3000
C,03/01/24,09:47:54,2.7097,2598
C,03/01/24,09:51:33,2.715,200
V,03/01/24,09:54:48,2.7,4549
V,03/01/24,09:56:05,2.69,720
V,03/01/24,09:56:51,2.69,5091
C,03/01/24,09:58:12,2.695,1905
C,03/01/24,10:01:10,2.695,1243
C,03/01/24,10:08:22,2.7,3691
V,03/01/24,10:11:52,2.69,2941
V,03/01/24,10:40:23,2.6796,5724
V,03/01/24,10:41:28,2.665,300
V,03/01/24,10:58:55,2.655,796
C,03/01/24,10:59:38,2.665,2408
V,03/01/24,11:12:52,2.655,100
V,03/01/24,11:25:32,2.655,3158
C,03/01/24,11:26:33,2.66,167
V,03/01/24,11:37:25,2.65,2
V,03/01/24,11:39:48,2.65,15
V,03/01/24,11:44:20,2.65,390
C,03/01/24,12:10:13,2.665,974
